"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","20.34","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","96","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","2095","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Wheat (Production Quantity)","283.2","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Wheat (Production Quantity)","218.7","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Wheat (Production Quantity)","284","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Wheat (Production Quantity)","837","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Wheat (Production Quantity)","849","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Wheat (Production Quantity)","470","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Wheat (Production Quantity)","1118","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Wheat (Production Quantity)","612","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Wheat (Production Quantity)","496","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Wheat (Production Quantity)","560","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Wheat (Production Quantity)","373.5","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Wheat (Production Quantity)","500","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","63","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","3","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","15270.3","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","21274.65","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","16297","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","27288","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","8852","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","6234","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","4707","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","5245","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","5584","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","4718","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","2869","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","6340","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","4760","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","2680","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","2662","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","2274","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","1647","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","13052.25","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","11719.512","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","13887.78","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","14142.5","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","13840.5","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Common Beans (Production Quantity)","18151","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pearl Millet (Production Quantity)","942.4","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pearl Millet (Production Quantity)","3361","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","7352.01","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","6123.87","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","9404.1","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","10631","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","6973","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","5271.48","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","6058.901","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","4967.021","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","5406.87","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","2433.27","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","3721.75","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","4480.47","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","6863.76","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","10634.49","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","6954","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","9822","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","6441.93","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","7490.99","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","5621.76","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","7551.91","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","4634.01","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","4710.01","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","2313","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","1863","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","1755","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","2480","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","2710","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","4875","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","4790","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","2270","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","1995","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","2057","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","1478","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pearl Millet (Production Quantity)","4497.75","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pearl Millet (Production Quantity)","3195.72","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pearl Millet (Production Quantity)","2423.16","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pearl Millet (Production Quantity)","2934","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pearl Millet (Production Quantity)","1998.4","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pearl Millet (Production Quantity)","1839.54","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pearl Millet (Production Quantity)","3863.01","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","47558.25","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","35104.86","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","26610.93","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","49156","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","16104","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","28378","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","32113.19","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","28367.6","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","34650.375","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","31378","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","10077","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pearl Millet (Production Quantity)","3135.31","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pearl Millet (Production Quantity)","2546.8","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pearl Millet (Production Quantity)","480.8","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pearl Millet (Production Quantity)","810","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pigeon Peas (Production Quantity)","670.7","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pigeon Peas (Production Quantity)","141","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","223.2","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","10","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","5","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","0","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","0","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","0","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","0","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","0","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","0","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","0","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Sunflower (Production Quantity)","40","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Sunflower (Production Quantity)","91","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","229.05","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","65.97","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","53.01","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","26","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","52","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","60.66","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","46","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","60.66","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","117","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","87","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","66","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","25","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","0","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","194.22","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","65.97","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","53.00001","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","102","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","57","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","61.06","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","26.5","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","61.06","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","27","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","36.5","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","23","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","34","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Irish Potatoes (Production Quantity)","0","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","415.35","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","198.72","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","198.72","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","216","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","152","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","167.9","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","119","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","109.1","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","296","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","71","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","70","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Maize (Production Quantity)","132.0252","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pearl Millet (Production Quantity)","0","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pigeon Peas (Production Quantity)","0","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","252","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","23","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","34","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","161","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","175","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","162","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","0","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","12.33","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","29","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","17","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Rice (Production Quantity)","1038","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Garrisa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Sunflower (Production Quantity)","0","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
